Поступление товаров,,,,,,,,,,
"Группировки строк: Ссылка.Магазин; Ссылка; 
Дополнительные поля: Номенклатура; Характеристика номенклатуры; Номенклатура.Код; Количество; Ставка НДС; Сумма НДС; Цена; Сумма; Ссылка.Магазин; Ссылка.Дата; Ссылка.Номер; Ссылка.Контрагент; Ссылка.Сумма документа; Ссылка.Проведен; 
Отбор: Ссылка.Дата Больше или равно ""21.06.2013 0:00:00"" И Ссылка.Дата Меньше или равно ""30.10.2013 23:50:00""",,,,,,,,,,
,,,,,,,,,,
Ссылка,,,,,Шапка,,,,,
,,,,,Ссылка.Магазин,,,,,
"Номенклатура, Код",Характеристика номенклатуры,Количество,Цена,Сумма,Шапка,,,,,
,,,,,Ссылка.Магазин,Ссылка.Дата,Ссылка.Номер,Ссылка.Контрагент,Ссылка.Сумма документа,Ссылка.Проведен
,,,,,Магазин Галерея,,,,,
"Брюки Gucci 4108 STN, ЦБ000003879",,15.000,"3,300.00","49,500.00",,,,,,
"Костюм Just Rich, ЦБ000003253",,18.000,"5,000.00","90,000.00",,,,,,
Поступление товаров ЦБ000000093 от 23.07.2013 11:15:15,,,,,Магазин Галерея,23.07.2013 11:15:15,ЦБ000000093,AMN,"122,000.00",Да
"Джинсы AMN 2006 DNM1, ЦБ000003880",,10.000,"3,700.00","37,000.00",,,,,,
"Джинсы AMN 4058DNM, ЦБ000003881",,10.000,"3,300.00","33,000.00",,,,,,
"Джинсы AMN 4102DNM2, ЦБ000003883",,10.000,"3,200.00","32,000.00",,,,,,
"Рубашка AMN 2017, ЦБ000003792",,8.000,"2,500.00","20,000.00",,,,,,
Поступление товаров ЦБ000000097 от 26.07.2013 11:35:29,,,,,Магазин Галерея,26.07.2013 11:35:29,ЦБ000000097,AMN,"262,800.00",Да
"Платье Dzynline 11316, ЦБ000003884",,8.000,"2,700.00","21,600.00",,,,,,
"Платье Dzynline 11250, ЦБ000003885",,8.000,"2,900.00","23,200.00",,,,,,
"Платье Dzynline 11299, ЦБ000003886",,4.000,"2,800.00","11,200.00",,,,,,
"Платье Dzynline 11245, ЦБ000003887",,8.000,"2,900.00","23,200.00",,,,,,
"Платье Dzynline 11256, ЦБ000003888",,12.000,"2,700.00","32,400.00",,,,,,
"Платье Dzynline 11261, ЦБ000003889",,4.000,"2,700.00","10,800.00",,,,,,
"Платье Dzynline 11258, ЦБ000003890",,4.000,"2,700.00","10,800.00",,,,,,
"Платье Dzynline 11231, ЦБ000003891",,4.000,"2,700.00","10,800.00",,,,,,
"Юбка Gazeline 2183, ЦБ000003892",,12.000,"2,400.00","28,800.00",,,,,,
"Юбка Gazeline 2185, ЦБ000003893",,12.000,"2,400.00","28,800.00",,,,,,
"Юбка Gazeline 2142, ЦБ000003894",,6.000,"2,400.00","14,400.00",,,,,,
"Юбка Gazeline 2181, ЦБ000003895",,12.000,"2,400.00","28,800.00",,,,,,
"Рубашка Merada 20146, ЦБ000003896",,4.000,"1,700.00","6,800.00",,,,,,
"Платье Merada 40823, ЦБ000003897",,4.000,"2,800.00","11,200.00",,,,,,
Поступление товаров ЦБ000000102 от 29.07.2013 11:03:08,,,,,Магазин Галерея,29.07.2013 11:03:08,ЦБ000000102,AMN,"172,000.00",Да
"Джинсы AMN 4088 DNM, ЦБ000003960",,10.000,"3,400.00","34,000.00",,,,,,
"Джинсы AMN 4060 DNM1, ЦБ000003961",,10.000,"3,300.00","33,000.00",,,,,,
